date,hits,keyword,geo,time,gprop,category
2015-05-01T00:00:00Z,29,Corte Suprema,CO,all,web,0
2015-06-01T00:00:00Z,20,Corte Suprema,CO,all,web,0
2015-07-01T00:00:00Z,23,Corte Suprema,CO,all,web,0
2015-08-01T00:00:00Z,27,Corte Suprema,CO,all,web,0
2015-09-01T00:00:00Z,27,Corte Suprema,CO,all,web,0
2015-10-01T00:00:00Z,28,Corte Suprema,CO,all,web,0
2015-11-01T00:00:00Z,26,Corte Suprema,CO,all,web,0
2015-12-01T00:00:00Z,15,Corte Suprema,CO,all,web,0
2016-01-01T00:00:00Z,20,Corte Suprema,CO,all,web,0
2016-02-01T00:00:00Z,27,Corte Suprema,CO,all,web,0
2016-03-01T00:00:00Z,30,Corte Suprema,CO,all,web,0
2016-04-01T00:00:00Z,31,Corte Suprema,CO,all,web,0
2016-05-01T00:00:00Z,32,Corte Suprema,CO,all,web,0
2016-06-01T00:00:00Z,24,Corte Suprema,CO,all,web,0
2016-07-01T00:00:00Z,23,Corte Suprema,CO,all,web,0
2016-08-01T00:00:00Z,26,Corte Suprema,CO,all,web,0
2016-09-01T00:00:00Z,29,Corte Suprema,CO,all,web,0
2016-10-01T00:00:00Z,26,Corte Suprema,CO,all,web,0
2016-11-01T00:00:00Z,28,Corte Suprema,CO,all,web,0
2016-12-01T00:00:00Z,17,Corte Suprema,CO,all,web,0
2017-01-01T00:00:00Z,18,Corte Suprema,CO,all,web,0
2017-02-01T00:00:00Z,29,Corte Suprema,CO,all,web,0
2017-03-01T00:00:00Z,36,Corte Suprema,CO,all,web,0
2017-04-01T00:00:00Z,28,Corte Suprema,CO,all,web,0
2017-05-01T00:00:00Z,32,Corte Suprema,CO,all,web,0
2017-06-01T00:00:00Z,26,Corte Suprema,CO,all,web,0
2017-07-01T00:00:00Z,24,Corte Suprema,CO,all,web,0
2017-08-01T00:00:00Z,31,Corte Suprema,CO,all,web,0
2017-09-01T00:00:00Z,32,Corte Suprema,CO,all,web,0
2017-10-01T00:00:00Z,31,Corte Suprema,CO,all,web,0
2017-11-01T00:00:00Z,29,Corte Suprema,CO,all,web,0
2017-12-01T00:00:00Z,18,Corte Suprema,CO,all,web,0
2018-01-01T00:00:00Z,20,Corte Suprema,CO,all,web,0
2018-02-01T00:00:00Z,32,Corte Suprema,CO,all,web,0
2018-03-01T00:00:00Z,27,Corte Suprema,CO,all,web,0
2018-04-01T00:00:00Z,34,Corte Suprema,CO,all,web,0
2018-05-01T00:00:00Z,31,Corte Suprema,CO,all,web,0
2018-06-01T00:00:00Z,24,Corte Suprema,CO,all,web,0
2018-07-01T00:00:00Z,29,Corte Suprema,CO,all,web,0
2018-08-01T00:00:00Z,27,Corte Suprema,CO,all,web,0
2018-09-01T00:00:00Z,31,Corte Suprema,CO,all,web,0
2018-10-01T00:00:00Z,28,Corte Suprema,CO,all,web,0
2018-11-01T00:00:00Z,25,Corte Suprema,CO,all,web,0
2018-12-01T00:00:00Z,14,Corte Suprema,CO,all,web,0
2019-01-01T00:00:00Z,17,Corte Suprema,CO,all,web,0
2019-02-01T00:00:00Z,28,Corte Suprema,CO,all,web,0
2019-03-01T00:00:00Z,28,Corte Suprema,CO,all,web,0
2019-04-01T00:00:00Z,27,Corte Suprema,CO,all,web,0
2019-05-01T00:00:00Z,30,Corte Suprema,CO,all,web,0
2019-06-01T00:00:00Z,22,Corte Suprema,CO,all,web,0
2019-07-01T00:00:00Z,23,Corte Suprema,CO,all,web,0
2019-08-01T00:00:00Z,27,Corte Suprema,CO,all,web,0
2019-09-01T00:00:00Z,25,Corte Suprema,CO,all,web,0
2019-10-01T00:00:00Z,28,Corte Suprema,CO,all,web,0
2019-11-01T00:00:00Z,22,Corte Suprema,CO,all,web,0
2019-12-01T00:00:00Z,14,Corte Suprema,CO,all,web,0
2020-01-01T00:00:00Z,15,Corte Suprema,CO,all,web,0
2020-02-01T00:00:00Z,26,Corte Suprema,CO,all,web,0
2020-03-01T00:00:00Z,24,Corte Suprema,CO,all,web,0
2020-04-01T00:00:00Z,19,Corte Suprema,CO,all,web,0
2020-05-01T00:00:00Z,17,Corte Suprema,CO,all,web,0
